proveedor,categoria_proveedor,nombre_certificacion,codigo_examen,nivel,area_foco,precio_usd,validez_meses,estado,plataforma_examen,url_oficial
AWS,Cloud,AWS Certified AI Practitioner,AIF-C01,Foundational,AI / GenAI,100,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-ai-practitioner/
AWS,Cloud,AWS Certified Data Engineer – Associate,DEA-C01,Associate,Data Engineering,150,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-data-engineer-associate/
AWS,Cloud,AWS Certified Machine Learning Engineer – Associate,MLA-C01,Associate,ML / AI / MLOps,150,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-machine-learning-engineer-associate/
AWS,Cloud,AWS Certified Generative AI Developer – Professional,AIP-C01,Professional,GenAI / LLMs / Amazon Bedrock,300,36,Activa,Pearson VUE,https://aws.amazon.com/certification/certified-generative-ai-developer-professional/
AWS,Cloud,AWS Certified Machine Learning – Specialty,MLS-C01,Specialty,Machine Learning,300,36,Retira 31/03/2026,Pearson VUE,https://aws.amazon.com/certification/certified-machine-learning-specialty/
GCP,Cloud,Generative AI Leader,,Foundational,AI / GenAI (no técnica),99,36,Activa,Kryterion,https://cloud.google.com/learn/certification/generative-ai-leader
GCP,Cloud,Associate Data Practitioner,,Associate,Data Engineering / Analytics / ML,125,36,Activa,Kryterion,https://cloud.google.com/learn/certification/data-practitioner
GCP,Cloud,Professional Data Engineer,,Professional,Data Engineering (BigQuery / Dataflow / Pub/Sub),200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/data-engineer
GCP,Cloud,Professional Machine Learning Engineer,,Professional,ML / AI / MLOps / Vertex AI,200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/machine-learning-engineer
GCP,Cloud,Professional Cloud Database Engineer,,Professional,Databases (Cloud SQL / Spanner / Bigtable),200,24,Activa,Kryterion,https://cloud.google.com/learn/certification/cloud-database-engineer
Azure,Cloud,Azure Data Fundamentals,DP-900,Fundamentals,Datos / Analytics,99,,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-data-fundamentals/
Azure,Cloud,Azure AI Fundamentals,AI-900,Fundamentals,AI / ML / GenAI,99,,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/
Azure,Cloud,Power BI Data Analyst Associate,PL-300,Associate,Analytics / Power BI / DAX,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/data-analyst-associate/
Azure,Cloud,Azure Database Administrator Associate,DP-300,Associate,Database / Azure SQL / SQL Server,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-database-administrator-associate/
Azure,Cloud,Azure Data Scientist Associate,DP-100,Associate,ML / AI / Azure Machine Learning,165,12,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-data-scientist/
Azure,Cloud,Azure AI Engineer Associate,AI-102,Associate,AI Services / Azure OpenAI / Agentes,165,12,Retira Jun 2026,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-engineer/
Azure,Cloud,Fabric Analytics Engineer Associate,DP-600,Associate,Analytics / Microsoft Fabric,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/fabric-analytics-engineer-associate/
Azure,Cloud,Fabric Data Engineer Associate,DP-700,Associate,Data Engineering / Microsoft Fabric,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/fabric-data-engineer-associate/
Azure,Cloud,Azure Cosmos DB Developer Specialty,DP-420,Specialty,NoSQL / Azure Cosmos DB,165,12,Activa,Pearson VUE,https://learn.microsoft.com/en-us/credentials/certifications/azure-cosmos-db-developer-specialty/
Databricks,Plataforma de Datos / AI,Databricks Certified Data Engineer Associate,,Associate,Data Engineering / Delta Lake / Spark SQL,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-engineer-associate
Databricks,Plataforma de Datos / AI,Databricks Certified Data Engineer Professional,,Professional,Data Engineering / Delta Live Tables / Unity Catalog,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-engineer-professional
Databricks,Plataforma de Datos / AI,Databricks Certified Machine Learning Associate,,Associate,ML / MLflow / Feature Store / AutoML,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/machine-learning-associate
Databricks,Plataforma de Datos / AI,Databricks Certified Machine Learning Professional,,Professional,ML en producción / MLflow a escala / Model Serving,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/machine-learning-professional
Databricks,Plataforma de Datos / AI,Databricks Certified Generative AI Engineer Associate,,Associate,GenAI / LLMs / RAG / Prompt Engineering,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/genai-engineer-associate
Databricks,Plataforma de Datos / AI,Databricks Certified Associate Developer for Apache Spark,,Associate,Spark / DataFrame API / Transformaciones,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/apache-spark-developer-associate
Databricks,Plataforma de Datos / AI,Databricks Certified Data Analyst Associate,,Associate,Analytics / Databricks SQL / Dashboards,200,24,Activa,Webassessor,https://www.databricks.com/learn/certification/data-analyst-associate
Databricks,Plataforma de Datos / AI,Databricks Certified Platform Administrator,,Specialist,Platform Admin / Seguridad / User Management,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification
Databricks,Plataforma de Datos / AI,Databricks Accredited AWS Platform Architect,,Specialist,Databricks on AWS / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification
Databricks,Plataforma de Datos / AI,Databricks Accredited Azure Platform Architect,,Specialist,Databricks on Azure / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification
Databricks,Plataforma de Datos / AI,Databricks Accredited GCP Platform Architect,,Specialist,Databricks on GCP / Deployment / Networking,200,24,Activa,Webassessor,https://www.databricks.com/learn/training/certification
Snowflake,Plataforma de Datos,SnowPro Associate: Platform,SOL-C01,Associate,Snowflake Platform / Notebooks / Cortex LLM,100,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Core,COF-C03,Core,Arquitectura Snowflake / Carga de datos / Seguridad,175,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/snowpro-core/
Snowflake,Plataforma de Datos,SnowPro Specialty: Gen AI,GES-C01,Specialty,GenAI / Cortex AI / LLM Functions / RAG,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Specialty: Snowpark,SPS-C01,Specialty,Snowpark / Python / ML en Snowflake,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Specialty: Native Apps,NAS-C01,Specialty,Native App Framework / Streamlit / Marketplace,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Advanced: Architect,ARA-C01,Advanced,Arquitectura de soluciones / Multi-cloud / DR,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/snowpro-advanced-architect/
Snowflake,Plataforma de Datos,SnowPro Advanced: Data Engineer,DEA-C02,Advanced,Pipelines avanzados / Streams / Tasks / Tuning,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Advanced: Data Scientist,DSA-C03,Advanced,ML en Snowflake / Snowpark ML / Feature Engineering,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Advanced: Data Analyst,DAA-C01,Advanced,SQL avanzado / Snowsight / Data Storytelling,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Advanced: Administrator,ADA-C02,Advanced,Account Admin / Cost Optimization / Governance,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
Snowflake,Plataforma de Datos,SnowPro Advanced: Security Engineer,SEA-C01,Advanced,RBAC / Encriptación / Column Masking / Audit,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/
dbt Labs,Analytics Engineering,dbt Analytics Engineering Certification,,Professional,dbt Core / Data Modeling / SQL Transformations / Testing,200,24,Activa,Examity,https://www.getdbt.com/certifications/analytics-engineer-certification-exam
NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – AI Infrastructure and Operations,NCA-AIIO,Associate,AI Infrastructure / GPU Compute / Operaciones,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-infrastructure-operations-associate/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Generative AI with LLMs,NCA-GENL,Associate,GenAI / LLMs / Prompt Engineering,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-associate/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Generative AI Multimodal,NCA-GENM,Associate,GenAI Multimodal / Texto / Imagen / Audio,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-multimodal-associate/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Accelerated Data Science,NCA-ADS,Associate,Data Science con GPU / RAPIDS / cuDF / cuML,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/accelerated-data-science-associate/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Infrastructure,NCP-AII,Professional,Deploy y config de clusters DGX/HGX,400,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-infrastructure-professional/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Operations,NCP-AIO,Professional,Monitoreo y optimización de infraestructura AI (lab práctico),500,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-operations-professional/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Networking,NCP-AIN,Professional,InfiniBand / Spectrum Networking / GPU Interconnects,400,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-networking-professional/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Accelerated Data Science,NCP-ADS,Professional,Pipelines Data Science en producción / RAPIDS / MLOps,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/accelerated-data-science-professional/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Generative AI with LLMs,NCP-GENL,Professional,LLM Training / Fine-tuning / Inference / NVIDIA NIM,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-professional/
